,title,company_name,location,stipend,intern_type
0,Fundraising,                            Tare Zameen Foundation                        ,Work From Home," 1,000 /month +  Incentives",Internship
1,Fundraising,                            Childo Education Research And Development Foundation                        ,Work From Home," 1,000 lump sum +  Incentives",Internship
2,Fundraising,                            Youth Empowerment Foundation                        ,Work From Home,Unpaid,Internship
3,Business Development (Sales),                            Externsclub                        ,Bangalore," 15,000-18,000 /month",Internship with job offer
4,Campus Ambassador,                            ATBC Technologies                        ,Work From Home,Performance Based,Internship
5,Search Engine Optimization (SEO),                            Sportskeeda                        ,Work From Home," 5,000-8,000 /month",Internship
6,Social Media Marketing,                            Fashion TV India                        ,Mumbai," 10,000 /month",Internship
7,Graphic Design,                            Fashion TV India                        ,Mumbai," 10,000 /month",Internship
8,Influencer Marketing,                            LBB (Little Black Book)                        ,Delhi," 3,500-5,000 /month",Internship
9,Business Development (Sales),                            Tommy Hilfiger                        ,Chennai," 22,000 /month",Internship with job offer
10,Non Apparel Category,                            Nykaa Fashion                        ,Mumbai," 5,000 /month",Internship
11,Customer Relations Management,                            Decathlon                        ,Lucknow," 12,000 /month",Internship
12,Sports Retail/Logistics,                            Decathlon Sports India                        ,Thane," 12,000 /month",Internship
13,CA - Industrial Trainee,                            Canara HSBC Life Insurance                        ,Gurgaon," 15,000 /month",Internship
14,Media & Public Relations (PR),                            Fashion TV India                        ,Mumbai," 10,000 /month",Internship
15,Business Development (Sales),                            Decathlon Sports India Private Limited                        ,Mumbai," 25,000 /month",Internship
16,Business Development (Sales),                            Decathlon                        ,Mumbai," 25,000 /month",Internship
17,Graphic Design,                            Times Internet                        ,Work From Home," 9,000-10,000 /month",Internship
18,Project Planning (TribeVibe),                            BookMyShow                        ,Mumbai," 7,500 /month",Internship
19,Market Research,                            Hindustan Unilever Limited                        ,Mumbai," 20,000 /month",Internship
20,Marketing,                            Hector Beverages Private Limited                        ,Bangalore," 5,000 /month",Internship
21,Marketing,                            Dabur India Limited                        ,Mumbai," 2,000-3,000 /week",Internship
22,Human Resources (HR),                            Paisabazaar                        ,Gurgaon," 20,000-25,000 /month",Internship
23,Marketing,                            Decathlon                        ,Chennai," 10,000 /month",Internship
24,Digital Marketing,                            NoBroker Technologies Solutions Private Limited                        ,Bangalore," 10,000 /month",Internship
25,Content Writing,                            Acko General Insurance                        ,Bangalore," 10,000 /month",Internship
26,Digital Marketing,                            UpGrad (UpGrad Education Private Limited)                        ,Mumbai," 25,000 /month",Internship
